Comments,Profine_words,No_words_per_comment,No_filtered_words,Is_profine,Avg_profine_per_comment,Avg_profine_per_filter_comment,No_profane_words
The black guys face is priceless,,6,5,0,0,0.0,0
lol the Oral Office lol,,5,4,0,0,0.0,0
Why does that guy look like hes whispering to an invisible person,,12,5,0,0,0.0,0
Trump 2020 So I can see this guys face reaction again lol,,12,8,0,0,0.0,0
Idk why CNN posted a video of them getting destroyed lol,,11,6,0,0,0.0,0
i really dont see how a christian could think Donald Trump is a man of God it just baffles me beyond comprehension,,22,8,0,0,0.0,0
so when Beto O Rourke says that he changed we all believe him when Trump says that he changed we all scream lies,,23,8,0,0,0.0,0
shes right hes running for president not pope and if cnn is really worried about abuse towards women they should mention joe biden for touching women and children,,28,13,0,0,0.0,0
Whoa whoa whoa were not talking about abortions or baby murder here we need to talk about the real important issues like locker talk,,24,12,0,0,0.0,0
woman throw themselves on men they think are rich hoping they can nail him When they lose they go after them with a vengence,,24,9,0,0,0.0,0
the thing is hes not running to be pope the guys face when he heard that was priceless,,18,7,0,0,0.0,0
Hes not running for Popelove it,,6,3,0,0,0.0,0
Women talk about men in the locker room as well,,10,6,0,0,0.0,0
Back in the mid90s it was called the oral office,oral,10,5,1,0.1,0.2,1
He is not running for the Pope  Well said,,10,5,0,0,0.0,0
So many things flashed through the black guys face throughout the whole conversation,,13,7,0,0,0.0,0
The ending is epic The two are one So f true,,11,5,0,0,0.0,0
Lets get the craziest lady we can find to represent trump supporters,trump,12,7,1,0.08333333333333333,0.14285714285714285,1
hows Creepy Uncle Joe Biden doing  hair sniff sniff,,10,9,0,0,0.0,0
Back in the 1990s I worked in a Squash Club On open nights everyone was polite and respectful On Male nights men spoke out about women and on Womens night women spoke out about men and the womens topics were far worse than what the men spoke off As a male bartender and waiter I had my ass grabbed and my crotch grabbed by the women on womens night and they thought it was funny I never saw or had a female waitress say anything about men touching them,ass,89,46,1,0.011235955056179775,0.021739130434782608,1
The guy on the left is cracking me up Hes like what what,,13,5,0,0,0.0,0
She was probably in his strip club In the Fat Division of the Strip Club,,15,8,0,0,0.0,0
Women talk way more nasty then Men ever do,,9,4,0,0,0.0,0
Millions of children watching the news Yep I remember those days,,11,8,0,0,0.0,0
Lol fake news trump 2020,trump,5,5,1,0.2,0.2,1
The facial expressions of the black guy are priceless,,9,6,0,0,0.0,0
Hey CNN its all your fault that Trump will be reelected to another four years Also FOX NEWS is Americas 1 news network again Thats the USA and Canada,,29,17,0,0,0.0,0
How Fast do you think the 2nd Civil War would end,,11,5,0,0,0.0,0
Trump didnt board cast the video CBS is to blame for the kids seeing the video,,16,9,0,0,0.0,0
God is NOT using Trump Documented 8000 lies CONTINUAL degrading and condescending tweets a corrupt charity a corrupt university a phoney wall crisis to shutdown the government which created many hardships and many unsafe and inefficient environments systems An absolute EMBARRASSMENT,,41,28,0,0,0.0,0
Now I know why Europe laughs at us,,8,4,0,0,0.0,0
Why did this show up in my recommendations,,8,2,0,0,0.0,0
If she wants to see the horrors of abortion she can go to anyplace where a safe legal one is banned,,21,7,0,0,0.0,0
Outright Deplorable,,2,2,0,0,0.0,0
Ha the Oral Office lmao got u bit**es,,8,5,0,0,0.0,0
I keep looking at the guys face on the left,,10,4,0,0,0.0,0
